N	MAF	effect_days	sd_lifespan	alpha	power
197	0.01	1.0	9.895948	2.28e-08	2.3307186e-08
197	0.01	2.0	9.895948	2.28e-08	3.4182756e-08
197	0.01	5.0	9.895948	2.28e-08	1.5898496e-07
197	0.01	7.5	9.895948	2.28e-08	5.7647484e-07
197	0.01	10.0	9.895948	2.28e-08	1.9738289e-06
197	0.02	1.0	9.895948	2.28e-08	2.6699304e-08
197	0.02	2.0	9.895948	2.28e-08	5.0684728e-08
197	0.02	5.0	9.895948	2.28e-08	4.5559627e-07
197	0.02	7.5	9.895948	2.28e-08	2.5705289e-06
197	0.02	10.0	9.895948	2.28e-08	1.2885963e-05
197	0.05	1.0	9.895948	2.28e-08	3.7325792e-08
197	0.05	2.0	9.895948	2.28e-08	1.1477867e-07
197	0.05	5.0	9.895948	2.28e-08	3.1050379e-06
197	0.05	7.5	9.895948	2.28e-08	3.5536907e-05
197	0.05	10.0	9.895948	2.28e-08	0.00030602692
197	0.10	1.0	9.895948	2.28e-08	5.6155009e-08
197	0.10	2.0	9.895948	2.28e-08	2.7204571e-07
197	0.10	5.0	9.895948	2.28e-08	1.9986078e-05
197	0.10	7.5	9.895948	2.28e-08	0.00039616529
197	0.10	10.0	9.895948	2.28e-08	0.0046168274
197	0.20	1.0	9.895948	2.28e-08	9.4904262e-08
197	0.20	2.0	9.895948	2.28e-08	7.5594815e-07
197	0.20	5.0	9.895948	2.28e-08	0.00015536464
197	0.20	7.5	9.895948	2.28e-08	0.0046168274
197	0.20	10.0	9.895948	2.28e-08	0.054757962
197	0.30	1.0	9.895948	2.28e-08	1.2921227e-07
197	0.30	2.0	9.895948	2.28e-08	1.3473444e-06
197	0.30	5.0	9.895948	2.28e-08	0.0004597715
197	0.30	7.5	9.895948	2.28e-08	0.015190862
197	0.30	10.0	9.895948	2.28e-08	0.15479008
197	0.40	1.0	9.895948	2.28e-08	1.5273809e-07
197	0.40	2.0	9.895948	2.28e-08	1.8340364e-06
197	0.40	5.0	9.895948	2.28e-08	0.00080141706
197	0.40	7.5	9.895948	2.28e-08	0.02698451
197	0.40	10.0	9.895948	2.28e-08	0.24234483
197	0.50	1.0	9.895948	2.28e-08	1.611006e-07
197	0.50	2.0	9.895948	2.28e-08	2.0221548e-06
197	0.50	5.0	9.895948	2.28e-08	0.00095225296
197	0.50	7.5	9.895948	2.28e-08	0.03207762
197	0.50	10.0	9.895948	2.28e-08	0.27509829
