Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CNS_surface_associated_glial_cell	2.0833904988874945e-05	5.182380643529153e-06	2.908156253282674e-05
female_reproductive_system	2.4359918467399902e-05	6.123272251043662e-06	3.4711924136801846e-05
polar_follicle_cell	1.867251470426993e-05	5.18759731227559e-06	0.00015944339438993542
adult_hindgut	1.820081568721299e-05	5.261409665779987e-06	0.00027078660267556193
enteroendocrine_cell	1.9518035074148987e-05	5.647068552830584e-06	0.0002738097619864392
pericerebral_adult_fat_mass	2.0668842055673727e-05	6.197042403353577e-06	0.00042607505382556975
adult_fat_body_head	2.248841349086321e-05	6.746469465166028e-06	0.00042901874253850917
epidermal_cell_that_specialized_in_antimicrobial_response	2.1705538766151395e-05	6.93726151757345e-06	0.0008775075322410839
epithelial_cell_body	1.823717110262255e-05	6.006653937643921e-06	0.0011980551403345788
oviduct	1.907375152076418e-05	6.315711135448604e-06	0.001263672654625683
perineurial_glial_sheath	1.3499270529460506e-05	5.256452056853073e-06	0.005112388749881955
stalk_follicle_cell	1.4095331538535943e-05	5.5297847607397196e-06	0.005401866592467903
escort_cell	1.223198918148317e-05	4.819576876247894e-06	0.005574719576453461
hemocyte_head	1.606056666240531e-05	6.562852544785523e-06	0.0071986864689596725
adult_fat_body_body	1.5445457201765368e-05	6.4235195647132846e-06	0.008096943027163607
adult_brain_perineurial_glial_cell	1.2916203804527507e-05	5.4049812751849326e-06	0.008431409604296305
hemocyte_body	1.5056132096618096e-05	6.443842457505726e-06	0.009732218326602765
seminal_vesicle___testis_epithelia	1.356436869028093e-05	5.821909389758536e-06	0.009906163450107187
epithelial_cell_head	1.3959078297682185e-05	6.048021619176779e-06	0.010498444507491614
male_accessory_gland_main_cell	1.517575256371704e-05	6.615978435892348e-06	0.01090090252598044
follicle_stem_cell_and_prefollicle_cell	1.2234967045892381e-05	5.364764585125444e-06	0.011285594822865782
adult_tracheal_cell	1.3885881127853982e-05	6.099336408153298e-06	0.011404415373894392
antimicrobial_peptide-producing_cell	1.2364037091673886e-05	5.519624434416655e-06	0.012545000625627037
enteroblast	1.2232084886785105e-05	5.575380094703705e-06	0.014119632851954413
adult_salivary_gland	1.2519905850730585e-05	5.719065265189126e-06	0.014292879972154946
midgut_large_flat_cell	1.2133692109137409e-05	5.589636758476826e-06	0.01497511808961584
spermatid	1.3050555015439071e-05	6.078558818379061e-06	0.01589736618988302
cyst_cell	1.088044288769033e-05	5.223553418461509e-06	0.018627521620540273
young_germ_cell	1.5525447148197895e-05	7.669857330877266e-06	0.021473971231041288
optic-lobe-associated_cortex_glial_cell	1.1794955205397983e-05	5.838711768156212e-06	0.021684966585894704
proximal_medullary_amacrine_neuron_Pm2	1.1890410132801281e-05	5.950671914191953e-06	0.022849516764875424
eo_support_cell	1.1503898290185881e-05	5.806561186132436e-06	0.023785010858502625
adult_glial_cell	1.1738147648587873e-05	6.039108365213965e-06	0.025966491454391998
adult_midgut_enterocyte	1.081651868663431e-05	5.568979337611052e-06	0.02605159014730957
adult_oenocyte	1.3720149404442337e-05	7.070694207573852e-06	0.02616405102465773
medullary_intrinsic_neuron_Mi9	1.0108076546588557e-05	5.402460565533213e-06	0.030671606266568688
follicle_cell	1.1779837301576055e-05	6.320403498766486e-06	0.031176350879352235
cone_cell	9.681581427377401e-06	5.292858459345283e-06	0.03368645688478392
copper_cell	1.0230648594434674e-05	5.665494603165658e-06	0.03547619330593741
crop	1.0938457327011258e-05	6.064868585029937e-06	0.03564882427543935
adult_brain_cell_body_glial_cell	1.0019315826038296e-05	5.578057685260922e-06	0.036231234644386996
principal_cell	9.923196902175577e-06	5.66858913319205e-06	0.04001099434056879
adult_midgut-hindgut_hybrid_zone	8.602782793510584e-06	4.925513084739602e-06	0.0403554592606962
enterocyte-like	1.069570889329795e-05	6.1615786942069585e-06	0.041293278430627356
pigment_cell	9.235342436720136e-06	5.340535435415567e-06	0.04187847020441405
ejaculatory_bulb	1.0727659094444021e-05	6.262122103160786e-06	0.04334681178174188
