Name	Coefficient	Coefficient_std_error	Coefficient_P_value	q_value	sig_bonferroni	sig_fdr05
CNS_surface_associated_glial_cell	2.0833904988874945e-05	5.182380643529153e-06	2.908156253282674e-05	0.0028290218171493505	True	True
female_reproductive_system	2.4359918467399905e-05	6.123272251043662e-06	3.4711924136801846e-05	0.0028290218171493505	True	True
polar_follicle_cell	1.867251470426993e-05	5.18759731227559e-06	0.0001594433943899	0.008663091095184566	True	True
adult_hindgut	1.820081568721299e-05	5.261409665779987e-06	0.0002707866026755	0.00892619824075664	True	True
enteroendocrine_cell	1.9518035074148987e-05	5.647068552830584e-06	0.0002738097619864	0.00892619824075664	True	True
pericerebral_adult_fat_mass	2.0668842055673727e-05	6.197042403353577e-06	0.0004260750538255	0.009990007861967928	False	True
adult_fat_body_head	2.248841349086321e-05	6.746469465166028e-06	0.0004290187425385	0.009990007861967928	False	True
epidermal_cell_that_specialized_in_antimicrobial_response	2.1705538766151395e-05	6.93726151757345e-06	0.000877507532241	0.017879215969410375	False	True
epithelial_cell_body	1.823717110262255e-05	6.006653937643921e-06	0.0011980551403345	0.02059786427039728	False	True
oviduct	1.907375152076418e-05	6.315711135448604e-06	0.0012636726546256	0.02059786427039728	False	True
perineurial_glial_sheath	1.3499270529460506e-05	5.256452056853073e-06	0.0051123887498819	0.06989840699706956	False	False
stalk_follicle_cell	1.4095331538535943e-05	5.52978476073972e-06	0.0054018665924679	0.06989840699706956	False	False
escort_cell	1.223198918148317e-05	4.819576876247894e-06	0.0055747195764534	0.06989840699706956	False	False
hemocyte_head	1.606056666240531e-05	6.562852544785523e-06	0.0071986864689596	0.08381327817431534	False	False
adult_fat_body_body	1.5445457201765368e-05	6.4235195647132846e-06	0.0080969430271636	0.08449635027021686	False	False
adult_brain_perineurial_glial_cell	1.2916203804527507e-05	5.4049812751849326e-06	0.0084314096042963	0.08449635027021686	False	False
hemocyte_body	1.5056132096618096e-05	6.443842457505726e-06	0.0097322183266027	0.08449635027021686	False	False
seminal_vesicle___testis_epithelia	1.356436869028093e-05	5.821909389758536e-06	0.0099061634501071	0.08449635027021686	False	False
epithelial_cell_head	1.3959078297682184e-05	6.048021619176779e-06	0.0104984445074916	0.08449635027021686	False	False
male_accessory_gland_main_cell	1.517575256371704e-05	6.615978435892348e-06	0.0109009025259804	0.08449635027021686	False	False
follicle_stem_cell_and_prefollicle_cell	1.223496704589238e-05	5.364764585125444e-06	0.0112855948228657	0.08449635027021686	False	False
adult_tracheal_cell	1.3885881127853982e-05	6.099336408153298e-06	0.0114044153738943	0.08449635027021686	False	False
antimicrobial_peptide-producing_cell	1.2364037091673886e-05	5.519624434416655e-06	0.012545000625627	0.08890587399900873	False	False
enteroblast	1.2232084886785104e-05	5.575380094703705e-06	0.0141196328519544	0.09318957741844995	False	False
adult_salivary_gland	1.2519905850730584e-05	5.719065265189126e-06	0.0142928799721549	0.09318957741844995	False	False
midgut_large_flat_cell	1.2133692109137409e-05	5.589636758476826e-06	0.0149751180896158	0.09388247110028368	False	False
spermatid	1.3050555015439071e-05	6.078558818379061e-06	0.015897366189883	0.09597298847966405	False	False
cyst_cell	1.088044288769033e-05	5.223553418461509e-06	0.0186275216205402	0.10843878657671616	False	False
young_germ_cell	1.5525447148197895e-05	7.669857330877266e-06	0.0214739712310412	0.11782165178336121	False	False
optic-lobe-associated_cortex_glial_cell	1.1794955205397983e-05	5.838711768156212e-06	0.0216849665858947	0.11782165178336121	False	False
proximal_medullary_amacrine_neuron_Pm2	1.189041013280128e-05	5.950671914191953e-06	0.0228495167648754	0.12014423331208678	False	False
